hg,pv,,,,,,,,,
D06525,D05311,,,,,,,,,
D01808,D07450,,,,,,,,,
D03447,D08184,,,,,,,,,
D08728,D08207,,,,,,,,,
D06135,D07167,,,,,,,,,
D08425,D0A1622,,,,,,,,,
E35016L-11,D05185,,,,,,,,,
D06209,D08812,,,,,,,,,
D08005,D07821,,,,,,,,,
D08921,D08130,,,,,,,,,
D08112,D00220,,,,,,,,,
D08991,D08815,,,,,,,,,
D07432,D0A0462,,,,,,,,,
D05038,D0A0058,,,,,,,,,
D06144,D0A0647,,,,,,,,,
D05607,D0A1417,,,,,,,,,
G92010,D0A0275,,,,,,,,,
D09580,NOAA17-001,,,,,,,,,
D00700,D0A1628,,,,,,,,,
D00167,D0A1064,,,,,,,,,
D08510,D00706,,,,,,,,,
D07730,D0A1031,,,,,,,,,
D06118,D0A1031,,,,,,,,,
D08339,D0A1023,,,,,,,,,
D0A9404,D0A1032,,,,,,,,,
D0A0408,D0A1281,,,,,,,,,
D0A0625,D0A0351,,,,,,,,,
D0A0554,D09770,,,,,,,,,
D09720,D06412,,,,,,,,,
D0A0066,D03367,,,,,,,,,
D00828,D01241,,,,,,,,,
D07791,D06051,,,,,,,,,
D0A0650,D06052,,,,,,,,,
Q41004C-28,D06357,,,,,,,,,
D0A1773,D06262,,,,,,,,,
D09393,D06263,,,,,,,,,
D0A1215,D06856,,,,,,,,,
D06765,D05254,,,,,,,,,
D0A1036,D05255,,,,,,,,,
D0A1861,D05480,,,,,,,,,
D0B0101,D06941,,,,,,,,,
D08706,D05710,,,,,,,,,
D0A1231,D05479,,,,,,,,,
D0A0995,D06146,,,,,,,,,
D0A1970,D06557,,,,,,,,,
D0A1547,D08184,,,,,,,,,
Q28017_notag,D08011,,,,,,,,,
D00654,D06770,,,,,,,,,
D07747,D08059,,,,,,,,,
D05406,D05564,,,,,,,,,
D04121,D05258,,,,,,,,,
D03253,D07821,,,,,,,,,
D06699,D08134,,,,,,,,,
D05768,D00980,,,,,,,,,
D03130,J77027_notag,,,,,,,,,
D03429,D0A0461,,,,,,,,,
D05527,D0A0039,,,,,,,,,
D05973,D0A0364,,,,,,,,,
D08426,D0A0848,,,,,,,,,
E35016L-12,D09422,,,,,,,,,
D06145,D0A0837,,,,,,,,,
D08004,D0A1627,,,,,,,,,
D08893,N80014C,,,,,,,,,
D07976,D09648,,,,,,,,,
D05042,D06725,,,,,,,,,
D07433,D06724,,,,,,,,,
D05038,D06724,,,,,,,,,
D08587,D09750,,,,,,,,,
D06037,D0A0162,,,,,,,,,
D08276,D0A0787,,,,,,,,,
D07989,D09889,,,,,,,,,
NOAA14-271,D05845,,,,,,,,,
D00426,D06253,,,,,,,,,
D08244,D06264,,,,,,,,,
D00434,D06254,,,,,,,,,
D01620,D06073,,,,,,,,,
D08339,D06401,,,,,,,,,
D0A0723,D06222,,,,,,,,,
P46016L-7,D06275,,,,,,,,,
D0A0626,D06872,,,,,,,,,
D0A0786,D05767,,,,,,,,,
D09674,D05876,,,,,,,,,
D09909,D05751,,,,,,,,,
D05872,D05766,,,,,,,,,
